Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19273152109,"Jul 11, 2026, 3:21:04 PM",Morning Run until my watch died,Run,ye no clue how long i ran so i just told my self to run roughly 2 hours ,1662,5.38,173.0,47,false,"",ASICS gel-kayano 32,activities/20391135211.fit.gz,,,1662.0,1649.0,5381.3,4.44,3.263,35.0,62.0,173.4,203.4,19.3,-0.5,,,115.0,80.0,173.0,154.0,,370.0,399.0,,,47.0,609902.0,,,,,,,,374.0,1663.0,0.0,,0.0,,1.0,5440.9,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.238,246.3,,,,4394.0,0.0,,209.0,213.0,3.3,,,,,,,,,,,,media/3a85b69d-2bcd-40e6-b809-521669bc8294.mp4|media/86018a6c-9bc7-4fb2-b09b-37184bfad30d.mp4
19250708093,"Jul 9, 2026, 10:27:32 PM",Jasso 800,Run,"",4029,12.88,185.0,183,false,,ASICS gel-kayano 32,activities/20368311845.fit.gz,,,4029.0,3970.0,12882.6,11.3,3.245,99.0,100.0,174.8,190.6,17.3,0.0,,,108.0,79.0,185.0,167.0,,371.0,1007.0,,,183.0,1476117.0,,,,,,,,375.0,4030.0,0.0,,0.0,,1.0,13163.1,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.197,1013.8,,,,10432.0,0.0,,508.0,213.0,3.316,,,,,,,,,,,,""
19235959167,"Jul 8, 2026, 11:29:40 PM",Evening Run,Run,,1429,3.75,154.0,18,false,,On Cloudventure cloudmonster 3 hyper,activities/20353293184.fit.gz,,,1429.0,1381.0,3757.8,6.42,2.721,45.0,38.0,172.4,193.2,24.4,0.2,,,82.0,74.0,154.0,138.0,,292.0,278.0,,,18.0,405750.0,,,,,,,,313.0,1430.0,,,0.0,,1.0,3929.3,,,,,,,,,,,,,,,,32216545.0,,,,,,,,,,,2.63,8.2,,,,3440.0,0.0,,125.0,178.0,2.845,,,,,,,,,,,,""
19231984348,"Jul 8, 2026, 4:43:34 PM",Lunch Swim,Swim,,3106,"2,025",191.0,56,false,,,activities/20349259637.fit.gz,,,3106.0,2652.0,2025.0,1.48,0.764,0.0,0.0,,,0.0,0.0,,,,,191.0,136.0,,,518.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652,0.0,,,,,0.0,25.0,,,,,,,,,,,,,,,""
19222172717,"Jul 7, 2026, 11:18:36 PM",Evening Run,Run,,4179,8.44,172.0,45,false,,On Cloudventure cloudmonster 3 hyper,activities/20339297705.fit.gz,,,4179.0,2850.0,8445.8,6.8,2.963,347.0,351.0,-79.0,197.6,48.5,-0.2,,,114.0,78.0,172.0,142.0,,335.0,694.0,,,45.0,970311.0,,,,,,,,317.0,4178.0,,,0.0,,1.0,8821.0,,,,,,,,,,,,,,,,32216545.0,,,,,,,,,,,2.021,2705.5,,,,7684.0,0.0,,376.0,180.0,3.095,,,,,,,,,,,,""
19217492427,"Jul 7, 2026, 4:42:43 PM",Lunch Weight Training,Weight Training,,2205,0,162.0,10,false,,,activities/20334564936.fit.gz,,,2205.0,2205.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,162.0,118.0,,,300.0,,,10.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,848.0,,,,,,,,12,424,""
19205978426,"Jul 6, 2026, 7:49:49 PM",Afternoon Weight Training,Weight Training,,2378,0,170.0,18,false,,,activities/20322890139.fit.gz,,,2378.0,2378.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,170.0,121.0,,,321.0,,,18.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,756.0,,,,,,,,11,378,""
19195497627,"Jul 5, 2026, 10:48:59 PM",Afternoon Walk,Walk,,4177,12.55,173.0,81,false,,On Cloudventure cloudmonster 3 hyper,activities/20312260219.fit.gz,,,4177.0,4021.0,12551.2,4.838,3.121,115.0,116.0,175.2,199.4,14.0,0.0,,,106.0,78.0,173.0,147.0,,,922.0,,,81.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,32216545.0,,,,,,,,,,,3.005,0.0,,,,10102.0,0.0,,,,,,,,,,,,,,,,""
19192832008,"Jul 5, 2026, 5:36:23 PM",Lunch Tennis,Workout,Starting from 5-2 since the win from the downpour on Friday didn't count. Still come out victorious. It's going to be a while before we play again [strava://athletes/88348816/15]William Hammond 🫡. Hope you find your dawg back in Melbourne ,905,0.60,164.0,2,false,,,activities/20309540033.fit.gz,,,905.0,768.0,607.5,2.743,0.791,0.0,0.0,182.0,182.0,0.0,0.0,,,104.0,57.0,164.0,111.0,,,113.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671,0.0,,,,878.0,0.0,,,,,,878.0,,0.0,,,,,,,,""
19178726539,"Jul 4, 2026, 3:30:58 PM",Morning Run,Run,,1933,5.99,165.0,44,false,,ASICS gel-kayano 32,activities/20295165621.fit.gz,,,1933.0,1904.0,5991.9,7.06,3.147,41.0,35.0,178.4,192.2,16.5,0.1,,,102.0,79.0,165.0,150.0,,347.0,443.0,,,44.0,662033.0,,,,,,,,348.0,1934.0,,,0.0,,1.0,6113.7,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.1,0.0,,,,5002.0,0.0,,368.0,262.0,3.211,,,,,,,,,,,,""
19170418199,"Jul 4, 2026, 1:51:42 AM",Evening Tennis,Workout,Got a 6-2 win but [strava://athletes/88348816/15]William Hammond was serving through the downpour while down 2-5 so I'll give him a redemption on sun if he wants ,2619,1.68,174.0,16,false,,,activities/20286733896.fit.gz,,,2619.0,1988.0,1679.7,6.814,0.845,0.0,0.0,182.0,182.0,0.0,0.0,,,111.0,58.0,174.0,131.0,,,415.0,,,16.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.641,0.0,,,,2884.0,0.0,,,,,,2884.0,,0.0,,,,,,,,""
19151440772,"Jul 2, 2026, 1:51:22 PM",Morning Run,Run,,2627,8.24,186.0,116,false,,ASICS gel-kayano 32,activities/20267512289.fit.gz,,,2627.0,2509.0,8240.5,4.46,3.284,80.0,78.0,169.0,193.4,32.2,0.0,,,117.0,79.0,186.0,167.0,,386.0,654.0,,,116.0,969189.0,,,,,,,,390.0,2628.0,,,0.0,,1.0,8514.5,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.137,1136.9,,,,6574.0,0.0,,627.0,293.0,3.394,,,,,,,,,,,,""
19144171530,"Jul 1, 2026, 11:28:43 PM",Evening Run,Run,,1652,4.85,179.0,67,false,,ASICS gel-kayano 32,activities/20260142101.fit.gz,,,1652.0,1559.0,4857.1,6.64,3.116,41.0,40.0,188.0,198.4,23.1,0.0,,,81.0,78.0,179.0,165.0,,332.0,387.0,,,67.0,526622.0,,,,,,,,326.0,1653.0,,,0.0,,1.0,5014.8,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,2.94,704.6,,,,4180.0,0.0,,275.0,245.0,3.217,,,,,,,,,,,,""
19141704547,"Jul 1, 2026, 4:36:53 PM",Lunch Swim,Swim,,3211,"2,050",185.0,69,false,,,activities/20257643529.fit.gz,,,3211.0,2558.0,2050.0,1.2,0.801,0.0,0.0,,,0.0,0.0,,,,,185.0,139.0,,,529.0,,,69.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638,0.0,,,,,0.0,25.0,,,,,,,,,,,,,,,""
19131227999,"Jun 30, 2026, 11:21:52 PM",Evening Run,Run,"",4505,8.45,170.0,63,false,,ASICS gel-kayano 32,activities/20247003755.fit.gz,,,4505.0,2947.0,8455.3,7.634,2.869,177.0,188.0,74.8,238.8,49.8,-0.4,,,89.0,77.0,170.0,148.0,,311.0,743.0,,,63.0,928440.0,,,,,,,,293.0,4505.0,,,0.0,,1.0,9058.0,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,1.877,2944.9,,,,7566.0,0.0,,606.0,220.0,3.074,,,,,,,,,,,,media/8ef801f2-b88a-401a-bb29-a806eb2ae6b9.mp4
19127045868,"Jun 30, 2026, 4:57:39 PM",Lunch Ride,Ride,,3418,15.75,165.0,23,false,,,activities/20242766035.fit.gz,,,3418.0,3149.0,15755.5,7.7,5.003,133.0,131.0,175.8,198.2,41.4,0.0,,,,,165.0,129.0,,,525.0,,,23.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,1195.2,,,,,0.0,,,,,,,,,,,,,,,,""
19113094945,"Jun 29, 2026, 4:47:24 PM",Lunch Weight Training,Weight Training,,2075,0,175.0,20,false,,,activities/20228608437.fit.gz,,,2075.0,2075.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,175.0,128.0,,,328.0,,,20.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,678.0,,,,,,,,8,339,""
19105036400,"Jun 29, 2026, 12:52:12 AM",Evening Ride,Ride,,1027,4.02,124.0,2,false,,,activities/20220407548.fit.gz,,,1027.0,962.0,4021.8,6.24,4.181,48.0,16.0,166.4,197.4,22.4,0.8,,,,,124.0,106.0,,,109.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.916,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19104188612,"Jun 28, 2026, 9:28:48 PM",Afternoon Tennis,Workout,"Down 0-4 fairly quick in probably 10 minutes, then something in me kicked in. I proceed to win the next 4 to reach 4-4. During the tiebreaker, I was up 4-1 but eventually fell to 7-5",4274,2.23,177.0,15,false,,,activities/20219538646.fit.gz,,,4274.0,2749.0,2238.2,4.3,0.814,0.0,0.0,178.0,178.2,2.0,0.0,,,123.0,56.0,177.0,119.0,,,501.0,,,15.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524,0.0,,,,3612.0,0.0,,,,,,3612.0,,0.0,,,,,,,,""
19100490008,"Jun 28, 2026, 3:22:27 PM",Popup x perilla,Ride,"",1483,6.60,131.0,4,false,,,activities/20215768682.fit.gz,,,1483.0,1455.0,6599.8,10.067,4.536,46.0,56.0,169.8,188.8,10.1,-0.2,,,,,131.0,110.0,,,173.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/76207a9e-df9d-4475-a858-b7595c5c2176.jpg|media/40852406-707d-4888-9db8-be028badfe48.jpg
19099790389,"Jun 28, 2026, 2:19:55 PM",Morning E-Bike Ride,E-Bike Ride,,1097,7.77,117.0,2,false,,,activities/20215054982.fit.gz,,,1097.0,1070.0,7778.9,10.117,7.27,66.0,50.0,167.8,194.6,17.9,0.2,,,,,117.0,101.0,,,104.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.091,561.4,,,,,0.0,,,,,,,,,,,,,,,,""
19087842226,"Jun 27, 2026, 2:19:35 PM",I belong to the streets,Run,"Street run might be my new favorite route. Lincoln square is so nice. 
Also the river park trail????? Potential long run route ??",5979,16.53,173.0,123,false,,ASICS gel-kayano 32,activities/20202876722.fit.gz,,,5979.0,5443.0,16529.5,10.98,3.037,206.0,209.0,171.2,208.2,46.3,0.0,,,114.0,76.0,173.0,149.0,,324.0,1233.0,,,123.0,1762437.0,,,,,,,,337.0,5979.0,0.0,,0.0,,1.0,17341.4,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,2.765,0.0,,,,13514.0,0.0,,1064.0,253.0,3.186,,,,,,,,,,,,media/2616dbbe-cb9c-47c9-b717-ba50fedbc117.jpg|media/063ee09c-33e0-44cf-a7a2-1c355a93a5cb.jpg|media/fac4c1ac-150c-4488-85e2-693b143ccf64.jpg|media/f3c22331-c49c-48c9-9136-313f7a8d17c2.jpg|media/11495652-9674-47a2-8497-bc682e3b19cf.jpg|media/27afbea9-dfca-4ec2-a3d2-8139bd84792e.jpg
19067145271,"Jun 25, 2026, 9:18:02 PM",Afternoon Tennis,Workout,"continued from 1-4 against [strava://athletes/88348816/15]William Hammond today from our sessin last week
came all the way back 5-5. He held serve at 6-5, i tied it back. Finish off with a 7-3 win at tiebreaker.
Can't say i wasn't nervous about the potential of losing today with the way my serve was looking during warmups. Whatever couldve worked today, worked lol",3518,2.05,173.0,29,false,"",,activities/20181836308.fit.gz,,,3518.0,2459.0,2053.5,2.717,0.835,0.0,0.0,179.5,179.9,1.5,0.0,,,118.0,57.0,173.0,133.0,,,566.0,,,29.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584,0.0,,,,3616.0,0.0,,,,,,3616.0,,0.0,,,,,,,,""
19063667081,"Jun 25, 2026, 1:54:23 PM",Morning Run,Run,Took only 1.5 years to build this bridge 🥱,3947,12.83,185.0,195,false,,ASICS gel-kayano 32,activities/20178318427.fit.gz,,,3947.0,3890.0,12832.6,4.56,3.299,138.0,134.0,165.0,194.2,37.1,0.0,,,83.0,79.0,185.0,170.0,,,1002.0,,,195.0,,,,,,,,,,,,,0.0,,1.0,13081.9,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.251,4893.1,,,,10306.0,0.0,,,,3.363,,,,,,,,,,,,media/47b35435-05c0-4fbb-a073-55afeed5c426.jpg
19055700127,"Jun 24, 2026, 11:23:37 PM",Evening Run,Run,"",1969,4.10,160.0,13,false,,ASICS gel-kayano 32,activities/20170227899.fit.gz,,,1969.0,1967.0,4107.1,5.02,2.088,87.0,100.0,178.6,220.4,36.4,-0.5,,,116.0,77.0,160.0,117.0,,259.0,327.0,,,13.0,461092.0,,,,,,,,275.0,1970.0,,,0.0,,1.0,4540.1,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,2.086,7.8,,,,4668.0,0.0,,234.0,207.0,2.308,,,,,,,,,,,,media/8c60fa5c-d81d-41e6-a45d-f8359d844e35.mp4|media/50941a56-78c8-4d6f-918d-fb14299e2479.jpg
19054692668,"Jun 24, 2026, 4:43:40 PM",Lunch Swim,Swim,,3256,"2,050",167.0,51,false,,,activities/20169209075.fit.gz,,,3256.0,2678.0,2050.0,1.26,0.765,0.0,0.0,,,0.0,0.0,,,,,167.0,134.0,,,501.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.0,,,,,0.0,25.0,,,,,,,,,,,,,,,""
19042746474,"Jun 23, 2026, 11:37:51 PM",Evening Run,Run,,1757,4.06,134.0,6,false,,ASICS gel-kayano 32,activities/20157077083.fit.gz,,,1757.0,1757.0,4063.6,2.94,2.313,28.0,17.0,216.8,237.8,12.0,0.3,,,81.0,78.0,134.0,123.0,,257.0,257.0,,,6.0,451819.0,,,,,,,,258.0,1758.0,,,0.0,,1.0,4164.9,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,2.313,0.0,,,,4582.0,0.0,,183.0,194.0,2.37,,,,,,,,,,,,""
19038532796,"Jun 23, 2026, 4:42:42 PM",Lunch Weight Training,Weight Training,,2577,0,157.0,8,false,,,activities/20152817534.fit.gz,,,2577.0,2577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,157.0,108.0,,,285.0,,,8.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,688.0,,0.0,,,,,,11,344,""
19025200951,"Jun 22, 2026, 5:09:35 PM",Lunch Weight Training,Weight Training,,1979,0,176.0,16,false,,,activities/20139317004.fit.gz,,,1979.0,1979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,176.0,128.0,,,309.0,,,16.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,722.0,,0.0,,,,,,9,361,""
19003039718,"Jun 20, 2026, 10:47:40 PM",Afternoon Tennis,Workout,,2100,1.06,168.0,5,false,,,activities/20116755666.fit.gz,,,2100.0,1377.0,1062.4,2.4,0.772,0.0,0.0,178.8,178.8,0.0,0.0,,,107.0,58.0,168.0,117.0,,,261.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,0.0,,,,1856.0,0.0,,,,,,1856.0,,,,,,,,,,""
19002438686,"Jun 20, 2026, 9:15:20 PM",Afternoon Ride,Ride,,2641,16.24,170.0,24,false,,,activities/20116144375.fit.gz,,,2641.0,2625.0,16240.7,9.52,6.187,118.0,97.0,161.4,193.0,19.2,0.1,,,,,170.0,134.0,,,439.0,,,24.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.149,538.9,,,,,0.0,,,,,,,,,,,,,,,,""
19001313490,"Jun 20, 2026, 6:58:52 PM",Afternoon E-Bike Ride,E-Bike Ride,,2129,15.96,143.0,7,false,,,activities/20114996377.fit.gz,,,2129.0,2048.0,15964.9,11.7,7.795,122.0,115.0,169.4,192.6,32.6,0.1,,,,,143.0,115.0,,,263.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.499,422.3,,,,,0.0,,,,,,,,,,,,,,,,""
18976270267,"Jun 18, 2026, 5:14:18 PM",Lunch Swim,Swim,,3475,"1,700",192.0,52,false,,,activities/20089569342.fit.gz,,,3475.0,2147.0,1700.0,1.14,0.792,0.0,0.0,0.0,0.0,0.0,0.0,,,,,192.0,129.0,,,441.0,,,52.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,0.0,,,,,0.0,25.0,,,,,,,,,,,,,,,""
18965064050,"Jun 17, 2026, 11:21:03 PM",Evening Run,Run,,1933,4.82,145.0,11,false,,ASICS gel-kayano 32,activities/20078204869.fit.gz,,,1933.0,1793.0,4827.5,6.98,2.692,42.0,38.0,169.2,193.6,18.0,0.1,,,82.0,78.0,145.0,132.0,,305.0,360.0,,,11.0,553004.0,,,,,,,,307.0,1934.0,,,0.0,,1.0,4953.0,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,2.497,6.0,,,,4716.0,0.0,,286.0,231.0,2.762,,,,,,,,,,,,""
